name,IDs,stakeholder_categories,Contents,date
Asociación Cardiología Clínica SEC,@clinica_sec,,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T21:51:47+00:00
مـــحــــمـــــد عــــنّانـــ,@mnr7711,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T21:44:00+00:00
aaa111,@alhrbi4242,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T21:38:55+00:00
محمد بن عثمان الحسين,@mohad60,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T21:26:03+00:00
Juan Carlos Obaya. #ReforzarAtencionPrimaria,@jcobaya69,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T21:02:09+00:00
Asociación Riesgo CV y Rehabilitación Cardiaca,@riesgo_SEC,,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:58:50+00:00
juan ramon,@RamonTasmania,,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:55:02+00:00
Arturo Aleman,@ElArturoAleman,,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:52:55+00:00
Josué,@Noinvasivo,,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:50:35+00:00
Alfonso Valle,@ValleAlfonso,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:49:31+00:00
هند محمد الشاوي,@hnoOoOoOodh,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T20:46:44+00:00
Marta Varas Mayoral,@VarasMayoral,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:42:36+00:00
Vicente Arrarte,@varrarte,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:10:31+00:00
Javier Torres,@JTLLERGO,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T20:07:39+00:00
Michael 🇮🇱,@Zwangshesse,Individual Other Health,"@tre_bol @pjakobs Moderne therapeutische und Prophylaxe-Verfahren in der Medizin: von AAV-basierter Gentherapie bei Hämophilie, über siRNA-Arzneimittel (das letzte Inclisiran) bis hin zu mRNA-Impfstoffen. Da gibt es sicher noch mehr Stoff, das war nur spontan 😉",2021-02-01T19:31:33+00:00
Omair,@general1756,,"الدكتور صفوق العنزي "" علاج inclisiran كعامل جديد لخفض الكوليسترول. https://t.co/T6luT5mK5F",2021-02-01T19:28:22+00:00
Marta GM,@martagm3,,He decidido ponerle nombre de fármacos que debería saberme a los granos que me van saliendo. A los de esta semana los he llamado Evolocumab e Inclisirán,2021-02-01T18:07:38+00:00
Muthu Vaduganathan,@mvaduganathan,"Doctor,Investigator","RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T17:35:51+00:00
Enrique Santas,@SantasEnrique,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T17:27:01+00:00
S 3 U D,@S3UD_AZIZ,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T16:20:04+00:00
rafavidalperez,@rafavidalperez,Doctor,"RT @SeguraCardio: 🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/v…",2021-02-01T16:05:39+00:00
Diego Segura,@SeguraCardio,Individual Other Health,"🔔🗞️#Inclisiran has been approved by @EMA_News in 👥 w/ Primary Hypercholesterolaemia or Mixed Dyslipidaemia
https://t.co/vPsgOjbMQB https://t.co/tZaYomLvSR",2021-02-01T16:04:51+00:00
عادل العـبدان ®️🇸🇦,@adelalabdaan,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T14:59:16+00:00
Zakifkr1,@Zakifkr11,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-02-01T14:35:39+00:00
Lukas Galli,@lukas_galli,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-02-01T14:27:48+00:00
Joanne Fagg,@ByJoFagg,Individual Other Health,4. Novartis’s #Leqvio delay could last a year (via @ByMadeleineA) #inclisiran https://t.co/lTbQXUcXun,2021-02-01T13:57:26+00:00
علي بن عثمان العباد,@ali37333,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T13:45:10+00:00
CISMeF Quoi de neuf,@CISMeF_QDN,,Leqvio - inclisiran https://t.co/dVyYUVBxt1,2021-02-01T13:08:41+00:00
Jakor Leo,@Maged25884387,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-02-01T13:05:18+00:00
عبدالرحمن العبدالجبار,@jabbar_333,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-02-01T11:33:58+00:00
عبدالرحمن العبدالجبار,@jabbar_333,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T11:33:43+00:00
dr. khalid.Alkhodare د. خالد الخضري,@KAlkhodare,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T11:17:02+00:00
⛔mohammed⛔️,@mmd80,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T11:08:04+00:00
ఖలేద్,@AbuZayid2,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T11:08:00+00:00
موسى السلامة,@mosa2ms,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:40:25+00:00
Abo Nasser,@abdulrahman33_a,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:38:14+00:00
askdiver,@like3sl,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:32:30+00:00
محمد العصيمي التميمي,@Mosaimit,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:22:38+00:00
الصحفي ( ابن مزروع ),@ibraheem4435,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:12:54+00:00
عبدالمحسن الروساء,@abwbdallh09,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:12:34+00:00
وليد,@Weley44,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:11:29+00:00
Maha,@HAYA_yab,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:06:29+00:00
احمد العقيل,@ahmed_alaqeel,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T10:05:14+00:00
saad bin megren,@saadabd83767569,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:48:13+00:00
رائد بن راشد الحوتان,@MrRaeeed,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:43:53+00:00
Prof. Ali al-Naseef,@prof_a_alnaseef,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:41:21+00:00
Prof. Ali al-Naseef,@prof_a_alnaseef,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-02-01T09:41:13+00:00
سعود السويلم,@saud_alsuwailem,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:15:05+00:00
Bo Thnayan,@bothnayankhaled,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:14:09+00:00
Mohammad,@Mohd_Alharthi_1,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:07:42+00:00
عبدالله السويلم,@_al_suwailem,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:02:41+00:00
Sultan,@maasy2007,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T09:00:21+00:00
ظافر,@dhaferalqarni83,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-02-01T08:18:39+00:00
Mohammed Aldhukair محمد الذكير,@Mamlloo7,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T07:51:51+00:00
mohd,@alattar_mohd,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T07:34:25+00:00
Hnaadi,@0alhnaadi,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T07:23:26+00:00
صالح م السنيدي,@salehalsonaidi,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T07:10:02+00:00
اليخاندرو.,@ALJ_RMD,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:56:32+00:00
م.تركي السعدي ®,@turkialsadi,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:54:42+00:00
Omar Al Hazza,@rahhalxp,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:40:34+00:00
شادي فلمبان - MBS 🇸🇦 Shadi Felemban,@shadi_c7,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:37:11+00:00
عبدالله علي الشهري,@abdullahx5,Doctor,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:36:56+00:00
رائد الموسى,@raedabdul,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:34:06+00:00
AMAL 1114,@amal_l_o,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:33:32+00:00
عبدالله الغذامي,@ghathami,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-02-01T06:31:30+00:00
منصور بن عامر,@mansoor9020,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-02-01T01:01:05+00:00
Nadia,@almasa20,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T23:25:25+00:00
Konstantin Krychtiuk,@krychtiukmd,"Doctor,Researcher/Academic","@cholcoev @KardiologieWien @MedUni_Wien @WalterSpeidl @StefanKastlMD @CHengstenbergMD @BerglerKlein @pe_bartko @billrothhaus @wien_wissen @vielgesundheit @DGK_org Inclisiran ist seit Mitte Dezember in Europa zugelassen. Derzeit finden in den meisten Ländern gerade Verhandlungen zwischen den Krankenkassen und dem Hersteller statt. Dies muss abgewartet werden, bis es verschrieben werden kann.",2021-01-31T22:15:08+00:00
اللورد,@hamad2324,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T22:06:03+00:00
Abdullatif Almulhim | عبداللطيف محمد الملحم,@Aalmulhim,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T21:55:03+00:00
MD. Lamyaa Alghafli,@Lamyaa_anwar,Doctor,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-31T21:53:16+00:00
The Peaceful Mind,@The_1_anonymous,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T21:43:59+00:00
امنت بالله,@WtO8b,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T21:37:43+00:00
♡ 🅕🅞🅤🅩 ♡,@rgd_Alotyby,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T21:36:51+00:00
امنت بالله,@WtO8b,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-01-31T21:24:12+00:00
المحامي محمد القشعمي,@M_A_Alqashami,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T20:30:42+00:00
Abdullah Alfaris 45 💛,@Abdulla64671000,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T20:29:50+00:00
Shraboni Ghosal RNutr,@ShraboniGhosal,HCP,"RT @krychtiukmd: The beginning of a new era in lipid management @KardiologieWien @MedUni_Wien 

@rafavidalperez @DrMarthaGulati @RosselloXa…",2021-01-31T20:29:27+00:00
حامد السهلي,@hmmh1389,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T20:24:52+00:00
فيصل الوجنان,@Ffwgnen,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T20:07:48+00:00
Cholesterin & Co e.V,@cholcoev,,"@KardiologieWien @MedUni_Wien @WalterSpeidl @StefanKastlMD @CHengstenbergMD @BerglerKlein @krychtiukmd @pe_bartko @billrothhaus @wien_wissen @vielgesundheit @DGK_org Ist schon bekannt, wann in Deutschland Inclisiran zum ersten Mal zur Anwendung kommen wird? Kann es bereits verschrieben werden? :) Vielen Dank für Ihre Antwort.",2021-01-31T20:03:51+00:00
خالد الربيش,@Khalid_alrubish,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T19:55:19+00:00
حمد بن ناصر,@hamadns,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T19:49:20+00:00
د.عبدالله عبدالعزيز الريس,@DrABAlRayes,Doctor,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-31T19:29:55+00:00
د. منصور الراجح,@alrajih4060,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T19:14:08+00:00
سعد الغامدي,@Saad82398647,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T19:05:21+00:00
abu khalid,@alghamdmas,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T19:03:29+00:00
رنا ( أم تالين ),@rana9292r,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-01-31T19:03:13+00:00
ابو أياد المزكي المالكي,@shranalsahran,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T18:55:15+00:00
wedain,@Lama1426Boo,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-01-31T18:52:23+00:00
ALSYED S,@ALSYEDS2,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T18:43:21+00:00
أبوعبدالرحمن,@Ahmeeed1,,بشرى جميلة ننتظرها بفارغ الصبر✔️👌🙏,2021-01-31T18:42:13+00:00
rainmaker,@rainmak15333048,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-31T18:25:48+00:00
د. توفيق احمد القصير,@tawalku,Researcher/Academic,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T17:47:07+00:00
HSH 🤍🕊,@79ah_hsh,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T17:27:23+00:00
ɱᎯhmood kahled,@makkaled,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-31T16:35:33+00:00
مشاعل,@MeshoAlshayea,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T16:30:13+00:00
Agustín,@agustinpazosl,Individual Non-Health,Inclisiran now has its cost-effectiveness report from ICER. Should Novartis be concerned? https://t.co/dFAfctB5gY,2021-01-31T16:18:52+00:00
صالح العتيبي ⚖,@saleh99_,,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T16:09:54+00:00
🇴🇲جمعة بن علي الناصري🇵🇸,@jumaalnassri,,"RT @KardiologieWien: Today, at the Cardiology lipid clinic of @MedUni_Wien, the worldwide first dose of #Inclisiran, a novel cholesterol lo…",2021-01-31T16:01:37+00:00
خلف,@khalaf4277,,"RT @DrSafug: 📍 علاج آخر ممتاز للدهون ومتوفر 

الأخوة الذين تعرضوا لاضرار جانبية من الستاتين او لم يخفض الدهون عندهم هناك دواء أخر جديد موجو…",2021-01-31T15:25:27+00:00
عبداللطيف,@ala1429,Individual Non-Health,"RT @DrSafug: 📍 خبر عظيم جدًا لمرضى الدهون 

اليوم ، في عيادة الدهون والقلب، تم إعطاء الجرعة الأولى خارج الدراسة من علاج inclisiran كعامل جد…",2021-01-31T15:17:20+00:00
احمد الهاجري a-m.,@AhmedHajre,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-31T14:17:25+00:00
docteur sophie bauer,@drsophiebauer,Doctor,"RT @krychtiukmd: The beginning of a new era in lipid management @KardiologieWien @MedUni_Wien 

@rafavidalperez @DrMarthaGulati @RosselloXa…",2021-01-31T14:08:51+00:00
محام: عثمان بن خالد الدعجاني العتيبي,@othman11112,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-31T14:03:41+00:00
Black Empty,@Mr_Black_Empty,,RT @alkhames: شركة الدواء Novartis تعتزم توزيع دواءها المتمثل بجرعتين سنويا لعلاج الكولسترول PCSK9 وله أسم علمي أخر  inclisiran قيمته من 36…,2021-01-31T13:48:36+00:00
